,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
836,RayVer26DarkvaN,@qorpomarket @diverse @NFT_World_News nice project 🔥🔥,https://twitter.com/RayVer26DarkvaN/status/1518938773589233664,0,0,39,"['qorpomarket', 'diverse', 'NFT_World_News']"
1368,steampowertaco,Example: #tezos has a diverse art scene. Some artists and collectors rage that PFP is killing the art scene. If you want to discuss nft as art; define your subjective meaning of art and build for it. Do that. Let others use NFTs how they want. It doesn't devalue your art....,https://twitter.com/steampowertaco/status/1511400627393417219,2,0,303,
6496,penny_socks,"@andrwwang Amazing feedback, completely agree that the @RPF_nft art should reflect its community - diverse, beautiful and bada$$ - and so happy to hear the team is incorporating",https://twitter.com/penny_socks/status/1464454084585566211,10,0,508,"['andrwwang', 'rpf_nft']"
8029,ApacheR86,"@AltcoinDailyio Check out @MarketMochi, #NFT #marketplace, NFT staking, NFT swap, multi chain DEX, launched on #BSC #mainnet yesterday. Reason $MOMA is highly undervalued, with such diverse ecosystem the current price is not justified and should🚀soon",https://twitter.com/ApacheR86/status/1401927283619684352,1,0,35,"['AltcoinDailyio', 'MarketMochi']"
2134,CSCadrix,"Today is the day for @diverse Family, metaverse is coming today at 12 EST and there are only 24 NFT listed under 1 ETH ! 😲 #NFTGiveaway #NFTCommunity https://t.co/4R0mB3sLYI",https://twitter.com/CSCadrix/status/1503665166541639684,6,0,411,['diverse']
5149,investingtutor,The millionaires being created in the NFT space should be diverse. I’m doing my best to help onboard as many people as possible.,https://twitter.com/investingtutor/status/1485379852886855687,112,16,7551,
2805,iRis_avenuue,"14 more mins for public!!! @diverse 
Let’s go!!!! 

#NFT #diverse #diversenft #NFTCollection #NFTCommunity #NFTs",https://twitter.com/iRis_avenuue/status/1498354258164711424,2,2,253,['diverse']
3429,pandoy_715,rly love how @diverse prioritizes their community on a consistent basis. a lot of nft projects claim to be community based but dont back it up. diverse jus stated that majority of wl &amp; public mint spots go to discord community members #diverse #diversenft #nft #nfts #nftcommunity,https://twitter.com/pandoy_715/status/1494039546946007042,3,2,85,['diverse']
2508,GMwelovenft,@fame_ladies @YearoftheWoman_ @yasminshimaart Loving this Initiative! Thank you!  We are also contributing with a FREE (forever FREE) listing of NFT women and gender diverse artists and creators. Doing what we can 😀,https://twitter.com/GMwelovenft/status/1499816732030115844,2,0,463,"['fame_ladies', 'YearoftheWoman_', 'yasminshimaart']"
7289,NasePybus,"@forged_nft In the corporate world, I'm probably with you. However, in the broadcast and media world where thousands of eyes are watching, I think it's incredibly important to have a diverse selection of people. Representation is important to show people that this path is possible for them.",https://twitter.com/NasePybus/status/1445318159431389186,3,0,715,['forged_nft']
3871,nftcv,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/1JADFMNTkq",https://twitter.com/nftcv/status/1491547466990329858,6,0,162,
7721,VictorLysakov,@NFTfirm @MikeTyson No. It’s the inner circle guy who actually has an NFT division among his diverse business interests. But suit yourself. Not gonna insist ;),https://twitter.com/VictorLysakov/status/1427335958542921730,1,0,1441,"['NftFirm', 'MikeTyson']"
4950,gsabate,"Thrilled to be an Ambassador for @HouseofFirst's Remarkable Women #NFT by artist Rachel Winter! 

Her beautiful, bold art expresses our ideas, stories and feelings. We are the diverse women of today leaving a mark! 

Thanks @AWilkisWilson! #WomeninNFTs #WomenInCrypto",https://twitter.com/gsabate/status/1486555419707326467,5,0,6140,"['HouseofFirst', 'AWilkisWilson']"
2398,CharakSujal,"Happy women's day to all the beautiful women our there.
@diverse thankyou for giving me this beautiful nft to showcase my gratitude towards women 😇❤️
#DIVERSE 
#nfts
#Ethereum 
#HappyWomensDay https://t.co/Sgt4jFXBhx",https://twitter.com/CharakSujal/status/1501099798765903873,2,0,110,['diverse']
7311,jessecouch,"@cryptoscientst Like with $alts, having a diverse collection of #NFTs will allow more liquidity

Be careful tho! I wouldn’t be surprised if there’s a massive #NFT crash setting up the perfect time to buy #NFTs in 2023. Many NFTs are getting into bubble territory at the moment🗯",https://twitter.com/jessecouch/status/1444434613649113090,2,1,9068,['cryptoscientst']
6813,kenzr69,"@InterstellarWLD #InterstellarWorld im very confidence this airdrop wil popular. A decentralized GameFi project with diverse gameplay. Also a metauniverse NFT world created for adventurers!. 

@DffaDhya 
@Giokkun1 
@HaryaRaden 

#InterstellarWorld #airdrop #gamefi #polygon #matic #airdrop #nft",https://twitter.com/kenzr69/status/1457531644462596104,1,0,58,"['InterstellarWLD', 'DffaDhya', 'Giokkun1', 'HaryaRaden']"
1274,happy38610336,@Theirsverse I love the idea behind the chatting of the NFT collectors and look forward to a diverse community. #Theirsverse will be my next blue-chip NFT.,https://twitter.com/happy38610336/status/1512573914286739459,1,0,2,['Theirsverse']
6583,Rahim_mahtab,"@DCLBlogger Hey @DCLBlogger I have been born and raised here, there is no where i would rather live in, its the most diverse place u can imagine, the safest pplace to be, with the most amazing happenngs, people and no tax.
have huge nft community here 
Pls drop me a tweet or a DM for anythin",https://twitter.com/Rahim_mahtab/status/1462512960513839108,10,0,18377,"['DCLBlogger', 'DCLBlogger']"
3752,denormative,"@molly0xFFF Friend went to a NFT meetup locally and it was apparently 100% middle-age white bros... in Japan. A country infamous for being 98% ethnically Japanese.

I feel like someone doesn't quite know what 'diverse' actually means. :/",https://twitter.com/denormative/status/1492360689431711746,27,2,12,['molly0xFFF']
886,monkeyslappingw,"Edit Rhy'S GOKU AND CAT

A collection of 10,000utility-enabled PFPs that feature a richly diverse and unique pool of rarity-powered traits. What's more, each Rhys

https://t.co/END2lEMgSb
https://t.co/aeGDTHYvbN

#NFT #NFTCommunity #nftartwork #NFTs  #nftcollector #nftcollection https://t.co/May7o4qx7e",https://twitter.com/monkeyslappingw/status/1517996264822132739,4,0,31,
5359,BxllxtNFT,"This project is awesome, you should join their discord server and you will be very impressed when you search about their projects!

https://t.co/7SpdgoS9vr
@DiverseNft 
#DIVERSE  #NFT #NFTCommuntiy https://t.co/F2kf26OM0O",https://twitter.com/BxllxtNFT/status/1483482584818634759,8,4,1179,['diversenft']
1696,wearelivingNFT,"⚠️🪐 DIVERSE METAVERSE NFT DROP!! 🪐⚠️
 
'Lets explore different horizons' listed on @opensea 👽

 ✍️ 0.01Eth #PolygonNFTs 

🔗https://t.co/QVflig52m2

#WomenInNFTs #NFTCommunity #OpenSeaNFT #NFTdrop #NFTCollection #nftcollectors https://t.co/8PSDu7qHkg",https://twitter.com/wearelivingNFT/status/1507542333922983940,3,0,3268,['opensea']
832,jeba_it,"Do you want to earn #NFT ? #polker game #P2E The ecosystem has an extensive ecosystem and is developed with sustainable $PKR that provides diverse earning potentials for players. @polker_PKR 
#poker #polkertothemoon #Airdrops #Blockchain #tezos #Avalanche #meta #Satoshi #Tesla",https://twitter.com/jeba_it/status/1518961376466972672,3,0,27,['polker_PKR']
1373,7zBuker,"@icpets_nft Crypto is a Diverse World
Dfinity is a diverse world
NFTs are a diverse world
Let's waiting for Pet❤",https://twitter.com/7zBuker/status/1511368118165475328,2,0,38,['icpets_nft']
5816,nft_alter,"Looks like Web3.0 will have the most diverse origins yet. 

#WAGMI #BAYC",https://twitter.com/nft_alter/status/1478356266019966976,7,2,502,
4927,rtclickfla,"@InvsbleFriends My fav part of invisible friends would be the diverse community, engaging with the less experienced nft holders (me), and the flawless details of the art.",https://twitter.com/rtclickfla/status/1486795674813353990,0,0,770,['InvsbleFriends']
6866,2112Run,"WDI's clientele is diverse but all clients share a common trait: money. Lots of it. 

If money is not an issue, WDI's elite professional soldiers are at your service.

Check out our latest drop at https://t.co/43pInSZzms and follow us for more info!

#NFT #NFTGaming #2112run https://t.co/SZqmjwJro6",https://twitter.com/2112Run/status/1456372280569774087,11,3,17537,
3105,BikerApe,@diverse @MonoLocco_ This NFT design is without question 🤯😀 I’m just going to get some of them ASAP🔥,https://twitter.com/BikerApe/status/1496193380740747269,2,0,1394,"['diverse', 'MonoLocco_']"
716,ZerkkNFT,"@strollinPastel @Sharkanator1026 @GuppydFish @arkaiju @IsekaiMeta @NFT_masterriggs @KwaggNft @Inferno27_ 
Diverse and exciting community &lt;3",https://twitter.com/ZerkkNFT/status/1520637203562786817,0,0,276,"['strollinPastel', 'Sharkanator1026', 'GuppydFish', 'arkaiju', 'IsekaiMeta', 'NFT_masterriggs', 'KwaggNft', 'Inferno27_']"
6209,goldytalks,"I understand i didn’t mention everybody. But while we are a small and young community, and a space in general, nft communities that are more diverse, in age/gender/background/country/interests are the ones which will win. The more welcoming we are, the further we can go. 🧡🧡🧡",https://twitter.com/goldytalks/status/1470874390967455745,7,0,2638,
7956,cryptomuzelle,"@Kenshiro_NFT @SuperRare Agree, well-curated works are integral in establishing and sustaining a respected reputation for quality and rarity along with diverse editorial content to drive interest in artists/works.",https://twitter.com/cryptomuzelle/status/1407069785330962436,1,0,325,"['Kenshiro_NFT', 'SuperRare']"
