,User,Tweets,Url,likeCount,retweetCount,followersCount,metionedUsers
2029,DoctorPlaneta,"Do you wanna a great #NFT collection?
So here you have the one!
Get your Führer of Pride and help tu build the new Reich of love and equality! ❤
https://t.co/9DKi0jJjVj

#NFTs #NFTCommunity #NFTcollectables #nftart #NFTinvestor #nftbuyer #newnftcollections #nftlgtb https://t.co/gDw8u8B6x9",https://twitter.com/DoctorPlaneta/status/1471399920645165060,6,1,4862,
286,blacksquare_art,"⬛ BLACKSQUARE OPPORTUNITIES ⬛

Daily ⬛ spots for new members through #NFTGiveaway

Enter our Channel and find out more:

Join discord: https://t.co/P5Pj01QUsO 

1x ⬛️ = 1x #NFT #Freemint #NFTGiveaway
 
#Blacksquare #NFT #NFTCommunity #Nftarts #NFTGiveaways #Unity #Equality https://t.co/NdWgPVsJUI",https://twitter.com/blacksquare_art/status/1522259831784148994,4,0,6844,
1194,Ivote4US2,@redmanjustine @charliecbs @CBSNews Then we got this bitter guy... tweets 2 words in every post fck and Ukraine. and he's followed by those FETISH PORN ACCOUNTS such as Borg. But this guy's other interest is NFT ART... HIS POLITICAL POST  SUPPORTING PUTIN are just  BAIT. He HAS ZERO INTEREST IN human equality. https://t.co/3y7bJBFvoZ,https://twitter.com/Ivote4US2/status/1499263416912986113,1,0,2497,"['redmanjustine', 'charliecbs', 'CBSNews']"
1852,jfx,"To clarify, when I buy daily NFTs I do not look at your profiles. I base my decision purely on the art, this is my first attempt to bring EQUALITY to NFT. Art should not be about race, sex, popularity or economic status. This is a mission ill keep pursuing regardless who joins me",https://twitter.com/jfx/status/1481297668001386505,3642,443,172918,
904,blargcrypto,@0xCharlotte I've never seen a more supportive group for equality than the NFT crypto space. Especially NFTs.,https://twitter.com/blargcrypto/status/1504875833420300288,4,0,1077,['0xCharlotte']
1661,chaiaiix_nft,"@mertkuyumcu10 The pain you didn't expect 💔
Pls god, give me a world of equality and strength of mind 🏳️‍🌈

https://t.co/rWAVWGctAQ",https://twitter.com/chaiaiix_nft/status/1487042530642305029,2,0,13098,['mertkuyumcu10']
159,NFTPixelProject,"‘Sneak Peek’ of one of the ‘Rare’ images in the historic ALL-FEMALE NFT collection dropping this month! 🔥 @zhannetpodobed 

222 incredible ALL-FEMALE artists/celebrities coming together from 43 COUNTRIES! 'Equality List' (WL) Sign up: 👇

Google Form: https://t.co/fMCyrmf09z https://t.co/aqzkPCVy6Y",https://twitter.com/NFTPixelProject/status/1525587869422604289,18,10,4218,['zhannetpodobed']
1476,RobinWeatherall,"Fmale Collection on @opensea
👧👩‍👧‍👦👭🌈
https://t.co/8aeg2kHkWP
Fragmented #Equality 

Floor Price 0.1 #ETH 
#EthereumNFTs #NFT #NFTart #NFTartist #NFTCollection #art #artwork #artoftheday
#opensea launch! #OpenSeaNFT 
First three listed. 280 in total listing in the following days. https://t.co/sq4aOz4x33",https://twitter.com/RobinWeatherall/status/1492332436230868992,5,1,441,['opensea']
2327,CYPX77,"Yo #NFTCommunity Hey People did you heared of CyberPunX? @opensea

✅ 999 unique CyberPunX 
🦾 We fight for equality and social justice
🔥Allready gaveaway 15k$

Check our Collection:
https://t.co/CEKZSzBYES 

#NFT #OpenSeaNFT #NFTdrop #nfart https://t.co/e6BApIQprZ",https://twitter.com/CYPX77/status/1450435464985554946,5,0,4796,['opensea']
1419,RobinWeatherall,"Fmale Collection on @opensea
👧👩‍👧‍👦👭🌈
https://t.co/8aeg2kHkWP
Fragmented #Equality 
From the Hyper set.
04-30
https://t.co/PkXYGZnUv7
0.3 #ETH 

#EthereumNFTs #NFT #NFTart #NFTartist #NFTCollection #art #artwork #artoftheday #opensea #OpenSeaNFT https://t.co/FLbhCcfXsm",https://twitter.com/RobinWeatherall/status/1493226042474975242,4,0,441,['opensea']
147,Eli_Krumova,I gave +Kred to @SWEtalk on @Kred #influence #STEM #WomenInSTEM #WomeninTech #WomenWhoCode #DataScience #AI #ML #IoT #IIoT #IoTPL #IoTCL #CyberSecurity #coding #tech #EmergingTech #FutureofWork #Digital #web3 #NFT #DeFi #womenempowerment #Equality #Inclusion #DEI #Tech4Good #SDGs,https://twitter.com/Eli_Krumova/status/1525929508360097793,11,8,31631,"['SWEtalk', 'Kred']"
390,CD7978,"@OneShotVentures @MetaMate_NFT Many NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would #MetaMate_NFT Game promotes fairness and equality to its players? Do the skills of the players matters more than the character?",https://twitter.com/CD7978/status/1519177316542259200,0,0,92,"['OneShotVentures', 'MetaMate_NFT']"
2009,bitcoinagile,"This 32-year-old artist brought in over $200,000 selling NFTs. Heres how shes supporting women of color in the space #NFT #nftart #Diversity&amp;amp;Equality #Cryptocurrency #Blockchain #Bitcoin #Ethereum/USDCoinMetrics #Ethereum https://t.co/mpxocalaEe https://t.co/LBMKpmsJef",https://twitter.com/bitcoinagile/status/1472632727514066959,3,0,66205,
1557,cryptopunkrock1,"11/30 ...to organizations which e.g. fight for saving our planet or stand up for gender equality. Solsisters is not only a NFT collection, it is a complete saga. But step by step.",https://twitter.com/cryptopunkrock1/status/1490078791389093897,3,0,1597,
101,Skyler543,"@PolkaFoundry @XMetaverse_ Blockchain NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would #XMetaverse promotes fairness and equality to its players?",https://twitter.com/Skyler543/status/1527394107420594176,1,0,502,"['PolkaFoundry', 'XMetaverse_']"
524,blacksquare_art,"⬛ 4.20 will be assigned on 4/20!!!

Giveaway starting soon!

https://t.co/Xw783CebRV

#Blacksquare #NFT #NFTCommunity #Nftarts    #NFTGiveaways #Unity #Equality",https://twitter.com/blacksquare_art/status/1516632471571288067,19,8,6844,
1913,Christian_z33,"@EastCoastNFT @SeanTheWhiteNFT @ExpansionPunks @ExpansionPunks
This project has the proper ethos that anyone can stand behind, the community is built on equality/inclusion for all❤️
We are the First NFT sanctioned for MLB, many athletes will have Xpunks on there gear soon starting with @Brett_Phillips8",https://twitter.com/Christian_z33/status/1478243444938067968,5,0,1856,"['EastCoastNFT', 'SeanTheWhiteNFT', 'ExpansionPunks', 'ExpansionPunks', 'Brett_Phillips8']"
2052,PA_1770,"I've been working with @nysel6791 on a #NFT project involving penguins, space and equality. What do you frens think of that combo?

#NFTCommmunity #theodaverse",https://twitter.com/PA_1770/status/1469798112235454468,3,1,5127,
2281,EATOSHINAKAMOTO,"HELLO, I am a professional artist, successful trader and now a #Crypto / #NFT creator! 

I am also proud to be gay &amp; a person of color! Crypto + equality is for ALL! #LGBTQcrypto 🌈🏳️‍🌈 

My passion projects are my crypto $GOGE @DogeGaySon and my NFT collection @CryptoQuties 💕 https://t.co/urqXd3nKxD",https://twitter.com/EATOSHINAKAMOTO/status/1453890532153823240,48,26,15142,"['dogegayson', 'CryptoQuties']"
2579,__Maya_S__,"""Equality is the soul of liberty; there is, in fact, no liberty without it.""
Frances Wright  #PrideMonth2021 
#PrideMonth #pride #gaylove #prideart #NFT #digitalpainting #ArtistOnTwitter #NFTartwork #painting https://t.co/y2HPGZJRvz",https://twitter.com/__Maya_S__/status/1401923802150453259,17,2,7466,
1960,niftyzonenft,"GM Web3 users! 😀

Art sales via #NFTs has totalled a whopping US$324 million in the first half of the year! 🤯

It's awesome to see these #NFT sales being funded for charitable causes such as gender equality campaigns. 🙌

https://t.co/luUPSxQYzN

#nftnews #NFTCommunity #NFTs",https://twitter.com/niftyzonenft/status/1475995899880902659,7,0,2390,
527,hellomzlady,"@naseemsayani @WoWPixiesNFT @Fae_NFT @gaurinft @angelallianceth @CryptoBeauties @womenofcrypto_ @CryptoTechWomen @HouseofFirst @OfTheNightClub 💜💜💜 love it!

Please check out @prosandconsnft. It’s a woman led project whose mission is to raise attention to ethically made and slow fashion, gender equality within the garment industry. Fun fact: I created the dApp! Thank you 👗💜",https://twitter.com/hellomzlady/status/1516552325682409472,3,0,755,"['naseemsayani', 'WoWPixiesNFT', 'Fae_NFT', 'gaurinft', 'angelallianceth', 'CryptoBeauties', 'womenofcrypto_', 'CryptoTechWomen', 'HouseofFirst', 'OfTheNightClub', 'prosandconsnft']"
175,Eli_Krumova,I gave +Kred to @blackgirlgamers on @Kred. #influence #GirlsWhoCode #WomenInSTEM #WomeninTech #WomenWhoCode #STEM #AI #ML #IoT #IIoT #IoTPL #IoTCL #web3 #NFT #Metaverse #Programming #DataScience #tech #EmergingTech #FutureofWork #Equality #Inclusion #DEI #womenempowerment #SDGs,https://twitter.com/Eli_Krumova/status/1525217398705606657,4,8,31631,"['blackgirlgamers', 'Kred']"
1257,RicharPacyay,🔥ETH low and ⛽️ Low🔥 Ethereum Machine - For Equality (Special Release) 1/1 collectible. See description for details. Stand against racism with this NFT. https://t.co/6jRNpHtjQ5 #rarible #ethereum #Metaverse #Dubai #NFT via @rarible,https://twitter.com/RicharPacyay/status/1497239826088792066,2,0,62,['rarible']
1324,RanDomWeiRd1984,You may purchase my Double PUNK Equality #002  NFT on Rarible now https://t.co/4pfrEevrRA #rarible #ethereum #nonfungible #digitalasset #nft via @rarible,https://twitter.com/RanDomWeiRd1984/status/1495145433534205953,2,0,60,['rarible']
1395,NotDolls_nft,"Valentine's Day is over but do you need a special day for your pleasure, and decide to show that you are more than pretty?  
Or to offer to your love, your daughter... a gift that shows how much they have value and deserves respect and equality💕💪🏼 https://t.co/1KPeZljifz",https://twitter.com/NotDolls_nft/status/1493554783495593988,5,2,8053,
1588,chaiaiix_nft,"@bright_lightart The pain you didn't expect 💔
Pls god, give me a world of equality and strength of mind 🏳️‍🌈

https://t.co/rWAVWGctAQ",https://twitter.com/chaiaiix_nft/status/1489054756228059136,0,0,13098,['bright_lightart']
1477,Muhamma20696283,"@Cryptovietnamvn @mambapad_bsc Usually, NFT games favor those who have upgraded, leveled up, and purchased large amounts of in-game items. How does this metaverse promote fairness and equality to its players? Are the skills of the players more important than the characters?",https://twitter.com/Muhamma20696283/status/1492279720876158980,0,0,27,"['Cryptovietnamvn', 'mambapad_bsc']"
1466,RobinWeatherall,"Fmale Collection on @opensea
👧👩‍👧‍👦👭🌈
https://t.co/8aeg2kHkWP
Fragmented #Equality 

Floor Price 0.1 #ETH 
#EthereumNFTs #NFT #NFTart #NFTartist #NFTCollection #art #artwork #artoftheday
#opensea launch! #OpenSeaNFT 
First few listed. 280 in total listing in the following days. https://t.co/RdRfMkFoGD",https://twitter.com/RobinWeatherall/status/1492467437412904961,3,0,441,['opensea']
830,Livio_Nabab,"@CryptoTitans1 @PromethMetagame Blockchain NFT game favors those who have upgraded, leveled and purchased large amount in-game items leaving those new players behind of them. How would #PromethMetagame promotes fairness and equality to its players?",https://twitter.com/Livio_Nabab/status/1507546996298567682,0,0,118,"['CryptoTitans1', 'PromethMetagame']"
178,Eli_Krumova,I gave +Kred to @shesthefirst on @Kred. #influence #GirlsWhoCode #WomenInSTEM #WomeninTech #WomenWhoCode #STEM #AI #ML #IoT #IIoT #IoTPL #NFTs #NFT #Metaverse #Programming #DataScience #tech #EmergingTech #FutureofWork #Diversity #Equality #Inclusion #DEI #womenempowerment #SDGs,https://twitter.com/Eli_Krumova/status/1525216857153753089,3,3,31631,"['shesthefirst', 'Kred']"
