,Topic,Word,Tweets
0,2,sale,"3 x Collection one  WARDOGS #NFTs will get you 1 x Collection Two WARDOGS. 

Public sale of collection two will be 1 Eth. Why are we saying this? 3 x collection one will cost you 900 AUD plus gas. Quick math. 

#passiveincome #community #ethical #veteran"
1,2,sale,People will just blindly trust someone because they are a smooth talker in this space. It’s crazy. Car salesman would make a fortune in the NFT space. I guess it takes more to impress me.  🤯
2,2,sale,"An #NFT art project built to fight for equality. Created by @GlennKaino &amp; Tommie Smith. 🔌 by  @Hashed_official | @PaceGallery

7872 NFTs 
Pre-sale Dec 16th 7amPT
Public Sale Dec 17th 7amPT
Minting at https://t.co/K4MBsAowFf

https://t.co/Tmn9ExnM6X"
3,2,sale,"@NFTMillionaire We are an NFT collection ready to bring diversity into the NFT world! We just launched our public sale recently for 0.05 ETH 🥰 you can read more information about our vision on our website. ❤️

https://t.co/21AU8pGtZf https://t.co/bkBcGXb0KS"
4,2,sale,"Flight $TRT to your portfolio by joining the @trust_recruit private sale

Visit https://t.co/zC1WzhGfyd for more info
#job #project #blockchain #Trustrecruit #crypto #blockchain #NFT #Whales #ico #investor #investing #TokenSale https://t.co/NvaoSZLQin"
0,2,girl,"Sharing because I want to be transparent about the uphill battle people of colour face in this space and any other. FYI buying an NFT from brown baddies doesn’t mean you’re ‘buying a brown girl’, you’re supporting art created by a brown girl and special access to our community :) https://t.co/KgjHpm4Cls"
1,2,girl,"Gender Inequality Index
#nft #nftart #art #nfts #womeninnft #LGBTQ #lgbt #feminist #feminism #equality #girlpower #feminista #feminismo #nftartist #nftcommunity #prochoice #genderequality #humanrights #selflove #equalrights #feministart https://t.co/IklZYEV2ja"
2,2,girl,"My first SALE!!!!!
@moondust_36 you are the best! Thank you for your trust and support! ❤️❤️❤️

The first sale will never be forgotten!

A good girl via @signArtApp -  https://t.co/sOf80PqIXd #Girl #tears #beauty #portrait #oil #NFT #SignArt https://t.co/SSn6A7bPdu"
3,2,girl,"#NFT Art 4 equity, diversity &amp; inclusion!Social impact ALWAYS A MUST since day 1-2 the death of me!
#blackexcellence 
#blackgirlmagic 

@Forbes @sianmorson @Melknee @kas__vegas @misslizzyart @tayodamnshoes @NaiboVisuals @newworldcurator @blacknftart @blktechfutures @ClareMaguire https://t.co/FHtJrzd8tQ"
4,2,girl,"@goldenKwang @sukizweetsm @HoshiShan @yukainao_nft @RxndeerC @_KucingKecil_ @Aqchi_chi @agil548g6h6 @OmeNoNFT @vinrylgrave @usapu_ppy @yun_NFT @NftMelloow @kiradironart @_iboobee @rienneit @ZINERYL @lightenbee @Shi_b_a_nft @tue_art @TAKE_NFT @vexxxxa @sky_diver_fox @yunyuliart @eating56 @ementea_ideak @ckyn29 @Hidden_dolls @fioreeza_NFT @Eyegirlxxx @pou_wanat @imagimiring8 

A very dynamic yet serene rendition of my Azuki in a surreal manner! My favorite aspects of this piece include the masterful utilization of color (diverse yet complimenting) and the design of her eyes—very mesmerizing.

56/409 https://t.co/UYSSf28ph8"
