,Word,Tweets
0,roadmap,"We’re the first NFT project focused on creating diverse leaders. But we’re not stopping there!

Other key roadmap initiatives include:

💸Funding for diverse founders
🤝Mentorship Programmes
🧑🏽‍💻Web3 Onboading &amp; Education
🏳️‍🌈10% of our mint is dedicated to grants for BIPOC + LGBTQ."
1,roadmap,"6/ It shows that new incentive-based contracts are required. An example could be that 10% of all the mint money goes to the project founders, and 90% to a community wallet. Only after a milestone on the roadmap is met, a percentage of the money will be paid out to the founders."
2,roadmap,Dear @Obluda777 - we just noticed that @SadBotsNFT is minting today. On the website you are listed as the co-founder. Who is the other one and why is (s)he not listed? What justifies a mint price of 0.5 (via a DA) for a vague roadmap? Why are there so many 6388 (&gt;70%) WL spots? https://t.co/3UVYJvUEIJ
3,roadmap,"If you’re looking for an #NFT project that has diversity, inclusivity &amp; equality at its heart, come grab yourself a PixelSaurus! We have over 500+ designs, a cool roadmap and are also verified on @opensea. #NFTs

🦕 Bronto: https://t.co/jk61Izkks4
🦖 Rex: https://t.co/hJuV9uxwXc https://t.co/Ud8c0FyIXF"
4,roadmap,"2/ No roadmap other than some abstract nonsense, and claiming they are backed by Fortune 500 companies, VCs, investors, traders, but of course there is 0 evidence of that. Claiming they will use the profits for charity as well - we all know that that means. https://t.co/ZqzEhddSYS"
0,doxxed,"People often conflate being doxxed with operating in an ethical way and being trustworthy. The two are not mutually exclusive - people both doxxed and anon are capable of both good and bad things, how we navigate that is ultimately our personal responsibility 🤝💖"
1,doxxed,"Not everyone that is not doxxed has something to hide, but those that have something to hide are generally always not doxxed.

Not everyone that is anonymous is a scammer, but scammers are generally always anonymous.

""Bad"" people always use ""exceptions"" to justify their behavior"
2,doxxed,"We ""doxxed"" many ""anon"" influencers in the NFT space. It was often so easy that you can't technically speak of doxxing. It has informed some of our views that we have communicated in the past weeks. If you do some research, things start to become clear.

https://t.co/l06l1l8clX"
3,doxxed,Just heard about the @Blockverse_NFT rug. The project sold out yesterday in less than 8 minutes (500 ETH) and had 792 ETH in secondary sales. Discord &amp; website closed and the anon devs are gone. Do we need a federated entity that approves all NFT projects and its doxxed founders?
4,doxxed,"Yes, @MutantXApe (minting today) is a scam. Undoxxed team, empty roadmap, Twitter account with 24k followers in 1 month, closed Discord with 100k members, and their AMA on YouTube was also made private. Apparently they used actors to feature in that AMA.

https://t.co/OlggyatBxr https://t.co/npD1oNZz5s"
