,Word,Tweets
0,think,"10/ As an important player in the crypto/NFT space, do you think that MoonPay should (continue to) provide a service that actually makes transactions less transparent? It is now for example not possible for us to see if/how much Gwyneth Paltrow paid for her Bored Ape."
1,think,"65/ We still have far and far more information that we have not (yet) disclosed, but we think we have presented enough evidence to allow people to make up their own judgement as to the kind of person that Beanie (really) is."
2,think,"@arvinlolme @NFTherder Yes, in the thread he mentions that 3 months ago he made you aware of this and that nothing has been done yet. A bit more pro-activity wouldn't hurt don't you think? Certainly given the small investment it requires and the huge amount of primary/secondary sales in comparison."
3,think,"2/ That project is also minting today. All these individuals generally DM us on mint day or the day before to warn us that they think the project is a scam given their extensive experiences in the Discord. It remains very difficult to check if that is always the case, because..."
4,think,"20/ But this will require further evaluation as “truth” is a social construct that is (more) difficult to algorithmize. Some think that certain “truths” are misinformation that should be censored, while others think it’s wrong to censor “truths” by calling it misinformation."
0,king,"12/ The last entry of his blog was on 14 April 2020, and up until that point he always mentioned his girlfriend M., but when looking deeper at properties that were purchased after April 2020, we noticed that another name came up: Gabriella Falcon. https://t.co/ouf4A1hN9R"
1,king,@Vince_Van_Dough @NFTethics @DeezeFi Can confirm I was also with Deeze last night and I got high just by looking him in the eye.
2,king,"3/ The Discord automatically censors anyone that mentions your real name and you also proactively ban people with critical questions. Both censoring and blocking people is not part of the true spirit of Web3, so why are you trying to become active in this space? https://t.co/fsTPtee47H"
3,king,"23/Imagine being a billionaire and trying to rip off poor teenagers by deceiving them into buying worthless JPEGs with their only/small savings? And not taking any responsibility for it, not feeling even ashamed of it, but going on stage and pretending to be a reputable NFT guru. https://t.co/KoeIWqrdrk"
4,king,"2/ They all mention his connection to the project @HolyCowsNFT, which was a rug by him and he then handed over the project to the community. When checking Yubico’s Discord ID, it is similar to (at least) two OpenSea profiles which both mention the same Discord ID. https://t.co/lMn2SWAndL"
0,sleep,"Don't sleep on us!

We are redefining leadership in web3. A force demanding diversity, equity &amp; inclusion for those intentionally left behind.

The next generation of diverse leaders are here!🌈✊🏽 https://t.co/bb3tyYhRmY"
1,sleep,"Don't sleep on us!

We are redefining leadership in web3. A force demanding diversity, equity &amp; inclusion for those intentionally left behind.

The next generation of diverse leaders are here!🌈✊🏽 https://t.co/bb3tyYhRmY"
2,sleep,"Don't sleep on us!

We are redefining leadership in web3. A force demanding diversity, equity &amp; inclusion for those intentionally left behind.

The next generation of diverse leaders are here!🌈✊🏽 https://t.co/bb3tyYhRmY"
3,sleep,"Don't sleep on us!

We are redefining leadership in web3. A force demanding diversity, equity &amp; inclusion for those intentionally left behind.

The next generation of diverse leaders are here!🌈✊🏽 https://t.co/bb3tyYhRmY"
4,sleep,"Don't sleep on us!

We are redefining leadership in web3. A force demanding diversity, equity &amp; inclusion for those intentionally left behind.

The next generation of diverse leaders are here!🌈✊🏽 https://t.co/bb3tyYhRmY"
0,list,"1/1 @snoopdogg NFT listed on opensea in the DIVERSE METAVERSE 💨 

https://t.co/JLjlhW3axU…

#WomeninNFTs #NFT  #NFTs #NFTCommunity    #Metaverse #artist #nftcollectors #SnoopDogg https://t.co/argOJSSVFE"
1,list,"16/ Next on the list are Dr. Paul Judge, who also explicitly mentions that his projects have been backed by a16z and @0xAllen_, who is working for VaynerNFT, which is of course owned by GaryVee and his brother AJ, both investors in Yuga Labs. https://t.co/GG9LM5Ne6Y"
2,list,"21/ Coinbase also altered its coin listing policy, potentially to accommodate Ox, which then became the first ERC-20 token to be listed. The choice to list Ox could be viewed as a blow to Coinbase's claims of transparency as 0x has a far smaller market cap than other coins. https://t.co/fzKm3A3Db2"
3,list,"The beauty of Web3/crypto/NFTs is that it connects the poor with the rich, the naifs with the cynics, the moralists with the crooks, the loyalists with the opportunists and they all pretend they and you are winning. Their ideology is based on hypocrisy, immorality and ignorance."
4,list,"🔥NEW NFT drop!🔥 One of those vibes! 🪐
listed in the DIVERSE METAVERSE collection on 
@opensea
💚👽
🔗https://t.co/cCybidvIkZ $ETH (Polygon)
#NFTdrop #nftart #WomenInNFTs #NFTProject #NFTCommunity https://t.co/weAygzrfVV"
0,zero,"3/ The NFT space is a zero-sum game and only a limited amount of projects will ultimately “survive”, so the current state of the market is that “bad news” for other projects is good news for your project(s) and vice versa. Even though bad news is bad news for Web3 in general."
1,zero,"For all the thousands of people that like, retweet and follow all the NFT projects that TheJenus promotes, we here share you the rates that that they charge. Zero effort, zero accountability - only interested in $.

We talked about perverse incentives in the NFT space before... https://t.co/o9NvLZ40BO"
2,zero,"3/ The NFT space is a zero-sum game and only a limited amount of projects will ultimately “survive”, so the current state of the market is that “bad news” for other projects is good news for your project(s) and vice versa. Even though bad news is bad news for Web3 in general."
3,zero,"4/ We have thought about some self-regulating mechanisms that will either remove any bad actors completely (and will reduce the value of all their NFT holdings to nearly zero), or ensure they do compensate for their past wrongdoings. How?"
4,zero,"For all the thousands of people that like, retweet and follow all the NFT projects that TheJenus promotes, we here share you the rates that that they charge. Zero effort, zero accountability - only interested in $.

We talked about perverse incentives in the NFT space before... https://t.co/o9NvLZ40BO"
0,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/QskoHDpN5C"
1,nft,"GM #NFT Fam! Gas is LOW! ADOPT a #PixelSaurus this weekend and Join The Story. 🦕
🔥 Over 350+ diverse designs!
🔥 Embraces disability &amp; mental health!
🔥 From just 0.02 ETH!
🔥 FREE QR Code Utility unlockable!
➡️ https://t.co/jk61Izkks4

#NFTs #nftcollector #NFTcollectibles https://t.co/JLpUDMrTNa"
2,nft,"T H E A R R I V A L👽

1/1 NFT in the DIVERSE METAVERSE 👀

https://t.co/JRq9H5DuzR

#WomeninNFTs #NFT  #NFTs #NFTCommunity    #Metaverse #Illustrator  #artist #nftcollectors https://t.co/gt4DHrtcu6"
3,nft,"Gn Friends
I Repost for new followers
#TheGuardianMuses ❤️100
Proud to promote Diversity🙌

#NFT #NFTs #nftart #nftcollector #art #artist  #OpenSeaNFT
#NFTCollection #NFTCommunity https://t.co/m7YJdoeOxV via @opensea"
4,nft,"NFT DROP 🔥 Would you do it for a scooby snack? 

DIVERSE METAVERSE ❤️‍🔥 1/1 NFTS 👽

https://t.co/WBY0AhQans

#WomeninNFTs #NFTs #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #aliennft https://t.co/sIhLp6PjD2"
0,fee,2/ Of course Mark Cuban said that he didn’t know about it (many billionaires are immoral hypocrites that pretend to be blissfully “ignorant” about unethical aspects of their own companies). See @coffeezilla’s short video for more background: https://t.co/klVDF5XWUz https://t.co/H6BCpyVISM
1,fee,"Mint your PixelSaurus! 0.05 ETH + LOW GAS fees!
🔗 https://t.co/ZOGHhWQ2eV 🦕🦖

💎 Fun, family friendly, diverse &amp; inclusive #NFTs!
💎 Innovative 'choose up to 3 traits' Utility!
💎 Safe &amp; secure minting!
💎 75% already minted!
💎 #OpenSea floor = 0.08!! 🔥🔥🔥

#nft #OpenSeaNFT https://t.co/enxZbP7qJO"
2,fee,"3/ Nima often posts about Dubai on IG, but the most important evidence is from another co-founder, who is still very young and he mentioned on Twitter last month “Living in Dubai feels like living in the Metaverse”. The post was liked by his mother and other co-founders. https://t.co/YnSfJnre3N"
3,fee,"@NFTethics @moonbirds_xyz I’m gutted because when you first came into the scene you wrote good shit and it was a real prevention mechanism for future scammers. 

Now that you have lost most of your credibility I think potential scammers might feel more encouraged. 

It’s a shame really."
