,Word,Tweets
0,gut,"@NFTethics @moonbirds_xyz I’m gutted because when you first came into the scene you wrote good shit and it was a real prevention mechanism for future scammers. 

Now that you have lost most of your credibility I think potential scammers might feel more encouraged. 

It’s a shame really."
1,gut,"@NFTethics @moonbirds_xyz I’m gutted because when you first came into the scene you wrote good shit and it was a real prevention mechanism for future scammers. 

Now that you have lost most of your credibility I think potential scammers might feel more encouraged. 

It’s a shame really."
2,gut,@kmoney_69 Trust your gut. It’s hard to differentiate anxiety from intuition at times but you got this.
3,gut,@kmoney_69 Trust your gut. It’s hard to differentiate anxiety from intuition at times but you got this.
4,gut,@kmoney_69 Trust your gut. It’s hard to differentiate anxiety from intuition at times but you got this.
0,nft,"Gn Friends
I Repost for new followers
#TheGuardianMuses ❤️065
Proud to promote Diversity🙌

#NFT #NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto  https://t.co/wkG5Bt4izA via @opensea"
1,nft,"GN #TheGuardianMuses
Digital painting #NFT PROJECT
More💯 #models on #opensea 
Proud to promote Diversity🙌

#NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/Q7V8TmU0fF"
2,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/0UIMUYMJ2c"
3,nft,"2 year I work a Digital painting #NFT PROJECT
#TheGuardianMuses❤️
More💯 #models on #opensea 
Proud to promote Diversity🙌

#NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/pSXTEN1jR1"
4,nft,"❤️‍🔥 DIVERSE METAVERSE 1/1 NFT !!! 💚
 
'Humanoid' listed on @opensea👽👽👽

 ✍️ 0.011Eth #PolygonNFTs 

🔗https://t.co/lzgW6JyDiz

#WomenInNFTs #NFTCommunity #OpenSeaNFT #NFTdrop #NFTCollection #RickandMorty  #rickandmortynft https://t.co/tKYI23a8WX"
0,journey,"We've started our movement of celebrating &amp; promoting #equity &amp; #inclusion in #Web3, #Metaverse &amp; IRL.

#UnikGals Genesis is the 1️⃣ step of our long-term journey of building an inclusive brand to spread our message across media, entertainment &amp; #fashion 👉
https://t.co/xbwxityelr https://t.co/Z3sgO1yDnb"
1,journey,"Gas is LOW!⛽️ Perfect time to start your #NFT journey with PixelSaurus! We have an exciting world that awaits you, and over 400+ diverse designs to choose from, including Christmas! 🦕

Which one will you get? 🤔

#NFT #NFTs #NFTCommunity #NFTCollector
➡️ https://t.co/jk61Izkks4 https://t.co/ekrKzQvpJw"
2,journey,"We've started our movement of celebrating &amp; promoting #equity &amp; #inclusion in #Web3, #Metaverse &amp; IRL.

#UnikGals Genesis is the 1️⃣ step of our long-term journey of building an inclusive brand to spread our message across media, entertainment &amp; #fashion 👉
https://t.co/xbwxityelr https://t.co/Z3sgO1yDnb"
3,journey,"Gas is LOW!⛽️ Perfect time to start your #NFT journey with PixelSaurus! We have an exciting world that awaits you, and over 400+ diverse designs to choose from, including Christmas! 🦕

Which one will you get? 🤔

#NFT #NFTs #NFTCommunity #NFTCollector
➡️ https://t.co/jk61Izkks4 https://t.co/ekrKzQvpJw"
4,journey,"GM #NFTCommumity!
Need diversity? Today #UnikGals co-host spaces u don't want to miss:

🔹All Abilities w/ @ProofOfAbility:
4pm UTC | 11AM EST
👉https://t.co/NfdjybZuyg

🔹Creative journeys w/ @MysticSisNFT:
6pm UTC | 1pm EST
👉https://t.co/NGGnbaWB98

#DisabilityInNFT #NFTartist https://t.co/g2YBRhiG0F"
0,fam,"PixelSaurus is an #NFT collection for the whole family to collect. Our fun, non-generative designs are diverse and inclusive and our 2 collections are priced from just 0.02 &amp; 0.03 ETH, to make them accessible. We’re also verified on @opensea! #NFTs 

🦕🦖 https://t.co/9gDe9ggcs5 https://t.co/bNzyyIwtJc"
1,fam,"Onboard yourself AND your kids in the #NFT space with PixelSaurus - a family friendly project that's diverse, inclusive and also embraces disability and mental health issues!

PixelSaurus Tri is MINTING NOW (less than 300 #nfts left to mint)! 🦕🦖

🔗 https://t.co/AibesNcvw9 https://t.co/1V2Lmbieqy"
2,fam,"GM #NFT Fam! 🦖
Reasons to mint a PixelSaurus today:

💎 Fun, family friendly, diverse &amp; inclusive #nfts!
💎 0.08 floor 🔥 0.05 mint price (gas saver)!
💎 5 x Innovative Utilities!
💎 Active in Discord &amp; #TwitterSpaces!
💎 VERIFIED #OpenSeaNFT account!

🔗 https://t.co/AibesNcvw9 https://t.co/ZqudmuenCG"
3,fam,"Have you joined the PixelSaurus family yet?

💥 Family friendly project!
💥 Safe &amp; secure minting!
💥 Innovative Utility!
💥 Non-generative art!
💥 Individual backstories for each #NFT!
💥 Diverse &amp; inclusive!
💥 VERIFIED #OpenSea account!

Mint Here:👇
🔗 https://t.co/MhGyUSfkpv https://t.co/jwM1EkTlEG"
4,fam,"Hey #NFTfamily!
Let's talk about how to make our community diverse and inclusive 🔥
Join now 👇

#DisabilityInNFT

https://t.co/qtIj3f6Z5R"
0,enjoy,"3/ It's about influential nefarious actors that have either been exposed or haven’t yet been exposed but are currently still able to remain active and even expand their influence, buying into blue chip projects, and enjoy all the NFT perks that you can possibly imagine."
1,enjoy,6/ We will update this thread further when more information becomes available. In the meantime we hope that all people involved are enjoying their cereal breakfast this morning!
2,enjoy,"Everyone loves decentralization until you realize that it allows some to ""abuse"" their individual freedom at the expense of the collective.

Everyone dislikes centralization until you realize that it allows many to “enjoy” the collective freedom at the expense of the individual."
3,enjoy,6/ We will update this thread further when more information becomes available. In the meantime we hope that all people involved are enjoying their cereal breakfast this morning!
4,enjoy,"Everyone loves decentralization until you realize that it allows some to ""abuse"" their individual freedom at the expense of the collective.

Everyone dislikes centralization until you realize that it allows many to “enjoy” the collective freedom at the expense of the individual."
0,time,6/ We will update this thread further when more information becomes available. In the meantime we hope that all people involved are enjoying their cereal breakfast this morning!
1,time,"@PeNatalie Hi! We’re Take Up Space, a global collective that helps to unlock your inner Changemaker. 

At 0.08ETH, a Changemaker NFT is a lifetime membership to curriculum-based leadership training, mentors &amp; the most diverse &amp; inclusive community in web3. 10% of mint goes to BIPOC LGBTQ🏳️‍🌈 https://t.co/naffeCAEyi"
2,time,"20/ According to his LinkedIn profile, Owlman is IRL the General Manager of RGT, and even though Beanie has mentioned multiple times that he is a dev, he is not. https://t.co/QLz2xBwUQd"
3,time,"#TrustDAO Staking is now ""live""🤯 at https://t.co/DzIAyyhSpv and gives #DAO participants access to stake 200 $Trust Tokens in the contract which can be un-staked anytime.🔥
✅Part 2: TrustDAO #NFT Staking will be live on January 18, 2022. 
Read More at 👇https://t.co/GhuyzrmJPI https://t.co/eQKMT1rePe"
4,time,"3/ The full timeline of events can be found in this thread. In both threads quite a few crypto billionaires are featured with dubious pasts.

https://t.co/fJtj9xssMH"
0,work,"@Chodan_Bakri Respectfully, I disagree. A huge amount of incredible work doesn’t do well because of implicit bias and the unequal representation of genders within the space. Until we reach that equality, more effort needs to be put into amplifying underrepresented groups."
1,work,"5. Undeniably, the artwork of the avatar drop has been one of the “coolest” and most unique to date. Many compared BAYC to Supreme, but I think Azuki to Supreme is a much better comparison. Finally, “trust the process” implies the team knows what they’re doing."
2,work,@alienfrens @andrwwang @Deadfellaz Oh my gosh this is amazing! I would love this to go to @Mermaids_Gender please! They do incredible work supporting trans and gender diverse youth and their families. Thank you! 💖
3,work,"If you have a large audience in this space, you have a moral responsibility to work by a code of ethics that has people’s best interests in mind. Transparency or gtfo."
4,work,"25/ This thread serves as some background for the upcoming thread(s) about VCs. As so often cynical people who exactly know how the world works are (ab)using naive and good-hearted people (teenagers, artists, etc) who are (blissfully) ignorant for their own benefit and agendas."
0,support,"GM to all 1,300 Changemakers!

By being here, you’re supporting a small Black, queer and women-led #NFTproject with a BIG vision✨

✅ To create the future of web3 by onboarding diverse folks

✅To empower diverse leaders via education, training, mentorship &amp; funding.

#LFG https://t.co/hbdWiyIoCu"
1,support,"@nftChanelle @TheRoyalsNFT @HouseofFirst @womenintechnft @MetaWomenNFT2 @meta_angels @WomenTribe_nfts @NotDolls_nft @PowerOfWomenNFT @lostgirls_nft Us! 👋🏽 We’re on a mission to onboard the next 10,000 queer POC into web3! 

Our Changemaker NFT is a membership pass to diverse leaders training, webinars, workshops, coaching, mentoring &amp; peer-to-peer funding for the community💪🏽

Help support a social-impact project today! https://t.co/d1REZgK13Z"
2,support,"QG was focused on providing support such as funding for skills building &amp; education, inclusive housing &amp; medical aid, gender affirming care and more. 

Because queer POC need those wellbeing needs met before they can become diverse leaders in the first place."
3,support,@0xNFTCritic I believe we do that every day. When we support any large company do we really know where our money is going? Is there a transparent supply chain or money trail? Often no. It’s a similar thing imo
