,Word,Tweets
0,look,7/ We have tried to look into the BAYC founders’ histories (or whatever is available on the Internet and that’s not much) to see if it’s possible to understand what their real intentions were and to compare it with what they have told publicly.
1,look,"We thought that the irony was obvious, but around 50% of the people didn't get it looking at the comments.

We meant to say: don't mint this stuff. They are not on LinkedIn.

If you don't get obvious irony, how can you see through not so obvious scams?

https://t.co/bRk1kqsWUJ"
2,look,"13/ @jf_nft mentions that he provides “facts” with that pathetic chart that will only convince people with very low 2 digit IQs. The chart will certainly already look different now, and even more so in the future. Who are the ""competitors"" and how did you calculate their score? https://t.co/g9Xb8vw6jQ"
3,look,"@NFTherder @hypebearsclub @cryptocom @binance It's about creating awareness for potential scams. On the surface most projects look great, but if you go one level deeper or ask a couple of more (difficult) questions, you generally see the true nature of a project."
4,look,"@PastelPersons @garyvee @elldeeNFT Agreed! Just look how much effort has gone into this NFT! All Gary's favourite things! I can personally vouch for Pastel Persons; a truly beautiful, ethical project with some of the best women in the NFT space. 💚🦕🦖"
0,use,"Proud to promote Diversity🙌 for 2 years
 #TheGuardianMuses❤️
Digital painting #NFT PROJECT
More💯 #models on #opensea 

#NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/7CQ7knDZGv"
1,use,"Gm Friends❤️
Proud to promote Diversity🙌
#TheGuardianMuses project
More 💯 #models on #opensea

#NFT #NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/RXE7VKqrcg"
2,use,"The anonymity that the use of these pfps brings can also provide safety and empowerment for marginalised people, while also creating an equal playing field for folks to interact without pre-existing bias spilling in."
3,use,"GN #TheGuardianMuses❤️
Digital painting #NFT PROJECT
More💯 #models on #opensea 
Proud to promote Diversity🙌

#NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/0K7QUUS3eh"
4,use,"4/ They use the influence that they have as leverage to get what they want. If you don't agree they will use their influence to make sure your project doesn't succeed. When Ayroeth sold his Bored Ape, he continued to use it, until he was called out. His bio still mentions BAYC. https://t.co/gQ0Z0RQuer"
