,Word,Tweets
0,collection,"Somewhere in space 1/1 👽 is now owned by @jakekeane0 , I'm honored to be your first NFT! Thank you for adding this piece to your collection  🙏❤️‍🔥👽

DIVERSE METAVERSE collection on @opensea  #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #nftowner https://t.co/d54A8Ostez"
1,collection,"DIVERSE METAVERSE FILLED WITH RARE OUTER WORLD 1/1 NFTS - Browse the collection here to own yours 👀✨🔮🔥 https://t.co/owlls3wuT4

 #WomeninNFTs #NFT  #NFTs #NFTCommunity   #nftcollectors #aliennft https://t.co/VNc0RHDbn2"
2,collection,"Ice cream with the aliens 

1/1 artwork from the Diverse Metaverse collection - https://t.co/tRNyvxUrMj
#NFT #NFTCommunity #digitalartist #neon #Metaverse https://t.co/J4p8cn5LQI"
3,collection,I’m all about women lead NFT projects and empowering women but I also think Diversity is also important which is why I created the collection DIVERSE METAVERSE full of 1/1s❤️‍🔥
4,collection,"Somewhere in space 1/1 👽 is now owned by @jakekeane0 , I'm honored to be your first NFT! Thank you for adding this piece to your collection  🙏❤️‍🔥👽

DIVERSE METAVERSE collection on @opensea  #NFTCommunity  #NFTdrop #NFTGiveaway #PolygonNFT #nftowner https://t.co/d54A8Ostez"
0,left,"2/ People feel especially betrayed by the fact that only 30 ETH was left in the community fund for further development, while 90 ETH in total seemed to have been paid to some of the moderators. The founders seem to have left the project with more than 1700 ETH."
1,left,"4/ He has been well known to harass women on Twitter and there are many more stories. His whole ""team"" consisted of women, but many of them have left. It's quite clear why. https://t.co/HKqZ83Efjx"
2,left,@cryptoisnice @balajis @coinbase We know and we therefore explicitly mentioned in the tweet that that picture dates back to 2018. Katie Haun also recently left a16z and both Asiff Hirji and Mike Lempres have also changed positions.
3,left,@cryptoisnice @balajis @coinbase We know and we therefore explicitly mentioned in the tweet that that picture dates back to 2018. Katie Haun also recently left a16z and both Asiff Hirji and Mike Lempres have also changed positions.
4,left,"Show your DinoMight! 🧨 Mint a PixelSaur and be part of our RAWRsome Club!

Only 250 left to mint... 🦕🦖🌋
🔗 https://t.co/AibesNcvw9

💎 Fun, family friendly, diverse &amp; inclusive #NFTs!
💎 Safe &amp; secure #NFT minting!
💎 5 x Innovative Utilities!
💎 VERIFIED #OpenSeaNFT account! https://t.co/Pc41xaexYe"
0,check,"If you're a basketball fan who is also into #NFTs, check out our PixelSaurus Rex: NBA Basketball inspired designs, featuring team colours! 🏀🦖

PixelSaurus is a diverse &amp; inclusive #NFT project, with over 7 ETH traded and VERIFIED on @Opensea! ✅

https://t.co/4g6DCCaFYF https://t.co/0K711wKcpj"
1,check,We would advise people to check your timeline and avoid any project that you are promoting. Because it's 99.9% likely that you are associated with the same organization that is creating all these scams and that also perfectly explains your response to us. https://t.co/W7crKYeVIg https://t.co/2Y8iBBGfPL
2,check,"49/ Beanie has admitted being a domain name investor, which is confirmed by doing a reverse WHOIS check on his real name. It is obvious in whose possession those valuable domain names are or were in case they have been resold. The domains were listed on https://t.co/bpvWhH592q. https://t.co/dUgpCIuQqk"
3,check,"2/ They all mention his connection to the project @HolyCowsNFT, which was a rug by him and he then handed over the project to the community. When checking Yubico’s Discord ID, it is similar to (at least) two OpenSea profiles which both mention the same Discord ID. https://t.co/lMn2SWAndL"
4,check,"25/ It was probably meant to create the illusion that CryptoBet or ChimpBet have a proper gambling license, because when we checked the status, it seems to be a sub-license of another company, of which there is no trace. The address is associated with another (gambling) company. https://t.co/MLVBeX5h6V"
0,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/j8ujm9JJTS"
1,nft,"Gm #TheGuardianMuses❤️
Digital painting #NFT PROJECT
More💯 #models on #opensea 
Proud to promote Diversity🙌

#NFTs #nftart #nftcollector #art #artist @opensea #OpenSeaNFT
#NFTCollection #NFTCommunity #WomeninNFTs #WomenInCrypto
https://t.co/QiH3XoZEMn https://t.co/EokuoyPe5y"
2,nft,"Gm Friends
I Repost for new followers
#TheGuardianMuses ❤️088
Proud to promote Diversity🙌

#NFT #NFTs #nftart #nftcollector #art #artist  #OpenSeaNFT
#NFTCollection #NFTCommunity https://t.co/3oZbfwWrxe via @opensea"
3,nft,"1/1 NFT DROP: Eye need space 👽

sometimes it's good to just switch off the world and take some time to recharge 👽

1/1 listed in the DIVERSE METAVERSE https://t.co/6SvJndXHxR

#WomenInNFTs  #NFTdrop #nftcommunity #NFTs https://t.co/vB4xkH18O1"
4,nft,"Long Chins are a fine art, computer generated collectible of 1111 diverse people created by digital artist Nadia H. 

https://t.co/anr8p6RxB4

#NFTs #arpunks #nftartist #NFT #nftart #nftcollector #NFTCommunity #longchins #7777nft https://t.co/Xd3eFikf9u"
0,new,"We knew his identity and ""track record"" (as far as you can speak of that when you are 19/20 years old) already for quite a while, but had hoped that he (and his father) would have made the right decision...

https://t.co/INEvVHLab1"
1,new,"We wish we had this a month ago!

To onboard more underrepresented groups into #web3, we need transparency and free flow of knowledge &amp; insights, especially with the beast that is launching an #NFTProject!

Highly recommend all new (or wannabe) NFT Creators check this one out. 🙌🏽"
2,new,"Changemaker #721 has found a new home with the brilliant George Gillette from LinkedIn! 🌈

Big welcome to George, thank you for supporting and joining the most diverse &amp; inclusive community in web3! 🙌🏽 https://t.co/9qRXvskqZj"
